iter	Passed	Remaining
414	3185	4490
415	3193	4482
416	3200	4474
417	3208	4467
418	3216	4460
419	3224	4452
420	3230	4443
421	3239	4436
422	3245	4427
423	3251	4416
424	3258	4408
425	3266	4401
426	3273	4392
427	3281	4385
428	3288	4377
429	3297	4370
430	3304	4362
431	3312	4355
432	3320	4348
433	3327	4339
434	3335	4332
435	3345	4327
436	3353	4320
437	3360	4311
438	3367	4302
439	3374	4294
440	3382	4288
441	3389	4279
442	3397	4271
443	3404	4262
444	3411	4254
445	3418	4246
446	3424	4236
447	3433	4231
448	3442	4224
449	3449	4216
450	3457	4208
451	3464	4200
452	3473	4194
453	3480	4186
454	3489	4179
455	3495	4170
456	3502	4161
457	3510	4154
458	3517	4146
459	3524	4137
460	3531	4129
461	3539	4121
462	3545	4111
463	3552	4103
464	3559	4095
465	3567	4088
466	3573	4078
467	3579	4069
468	3585	4060
469	3592	4051
470	3601	4044
471	3608	4036
472	3616	4029
473	3624	4021
474	3630	4013
475	3637	4004
476	3643	3994
477	3650	3986
478	3656	3977
479	3664	3969
480	3671	3961
481	3678	3952
482	3686	3945
483	3693	3937
484	3701	3930
485	3708	3922
486	3716	3914
487	3722	3905
488	3731	3898
489	3739	3892
490	3745	3882
491	3753	3875
492	3759	3866
493	3766	3857
494	3773	3850
495	3782	3843
496	3789	3835
497	3796	3827
498	3803	3818
499	3811	3811
500	3817	3802
501	3826	3796
502	3833	3787
503	3840	3779
504	3848	3772
505	3856	3764
506	3863	3756
507	3870	3748
508	3877	3740
509	3885	3733
510	3892	3724
511	3899	3716
512	3906	3708
513	3913	3700
514	3920	3691
515	3927	3683
516	3933	3675
517	3940	3666
518	3947	3658
519	3955	3651
520	3963	3644
521	3971	3637
522	3980	3629
523	3986	3621
524	3996	3615
525	4003	3608
526	4010	3599
527	4016	3590
528	4024	3583
529	4033	3576
530	4046	3573
531	4053	3566
532	4060	3557
533	4068	3550
534	4078	3544
535	4085	3536
536	4092	3528
537	4099	3520
538	4105	3511
539	4112	3503
540	4122	3497
541	4129	3489
542	4135	3480
543	4142	3472
544	4148	3463
545	4156	3456
546	4165	3449
547	4173	3442
548	4180	3434
549	4187	3426
550	4194	3418
551	4203	3411
552	4213	3406
553	4223	3399
554	4235	3396
555	4243	3388
556	4251	3381
557	4261	3375
558	4267	3367
559	4274	3358
560	4280	3349
561	4287	3341
562	4294	3333
563	4301	3325
564	4309	3317
565	4316	3309
566	4323	3301
567	4330	3293
568	4338	3286
569	4347	3279
570	4357	3274
571	4367	3268
572	4376	3261
573	4388	3256
574	4397	3250
575	4407	3244
576	4417	3238
577	4426	3231
578	4433	3223
579	4439	3215
580	4447	3207
581	4453	3198
582	4460	3190
583	4467	3182
584	4474	3173
585	4482	3166
586	4488	3158
